Dia,Mes,Anio,Estacion,Alcaldia,Latitud,Longitud,avgAQI
9,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,26
9,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,71
9,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,105
9,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,22
10,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,20
10,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,24
10,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,77
10,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,12
10,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,12
10,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,10
10,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,49
10,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,10
10,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,65
10,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,66
10,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,84
10,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,53
10,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,15
10,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,69
10,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,69
10,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,13
11,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,24
11,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,31
11,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,94
11,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,17
11,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,21
11,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,19
11,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,57
11,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,23
11,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,82
11,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,87
11,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,100
11,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,60
11,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,21
11,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,89
11,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,91
11,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,19
12,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,20
12,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,82
12,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,126
12,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,6
12,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,10
12,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,9
12,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,83
12,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,8
12,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,114
12,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,105
12,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,136
12,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,99
12,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,13
12,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,90
12,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,119
12,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,13
13,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,23
13,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,54
13,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,70
13,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,8
13,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,10
13,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,12
13,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,53
13,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,8
13,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,75
13,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,74
13,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,8
13,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,68
13,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,14
13,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,38
13,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,71
13,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,13
14,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,24
14,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,31
14,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,61
14,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,11
14,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,10
14,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,10
14,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,41
14,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,13
14,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,55
14,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,54
14,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,8
14,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,51
14,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,12
14,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,26
14,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,50
14,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,15
15,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,28
15,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,49
15,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,86
15,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,81
15,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,16
15,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,16
15,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,56
15,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,13
15,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,80
15,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,90
15,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,12
15,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,45
15,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,19
15,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,61
15,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,93
15,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,21
16,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,27
16,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,55
16,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,112
16,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,129
16,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,11
16,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,10
