,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
60,7_1_2016_TLAHU,7,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,53,2,0.07758,0.16359,0.47823
61,7_1_2016_TLALP,7,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,52,4,-0.03953,0.46228,-0.23408
62,7_1_2016_VENUS,7,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,95,24,0.09313,0.09526,0.50963
63,8_1_2016_BENIT,8,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,89,10,0.04583,0.38995,0.31513
64,8_1_2016_CUAUH,8,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,72,32,0.09876,0.06456,0.54579
65,8_1_2016_IZTAC,8,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,71,8,0.13991,0.01036,0.74039
66,8_1_2016_IZTAP,8,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,99,34,0.25845,0.00015,1.20472
67,8_1_2016_MIGUE,8,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,66,10,0.0727,0.17233,0.40209
68,8_1_2016_TLAHU,8,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,70,2,0.07758,0.16359,0.47823
69,8_1_2016_TLALP,8,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,61,10,-0.03953,0.46228,-0.23408
70,8_1_2016_VENUS,8,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,101,12,0.09313,0.09526,0.50963
71,9_1_2016_BENIT,9,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,91,6,0.04583,0.38995,0.31513
72,9_1_2016_CUAJI,9,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,62,6,0.05489,0.40533,0.27603
73,9_1_2016_CUAUH,9,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,83,22,0.09876,0.06456,0.54579
74,9_1_2016_IZTAC,9,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,83,12,0.13991,0.01036,0.74039
