,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
99,8_1_2016_TLAHU,8,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,70,1,0.06017,0.27215,0.34631
100,8_1_2016_TLALP,8,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,23,5,0.07686,0.14441,0.5717
101,8_1_2016_VENUS,8,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,101,6,0.03224,0.54488,0.13043
102,9_1_2016_ALVAR,9,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,26,9,-0.00885,0.87071,-0.07645
103,9_1_2016_AZCAP,9,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,20,3,-0.02489,0.64123,-0.10199
104,9_1_2016_BENIT,9,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,91,3,0.04593,0.38688,0.298
105,9_1_2016_COYOA,9,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,22,6,0.21894,3e-05,2.00756
106,9_1_2016_CUAJI,9,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,62,3,0.07397,0.26074,0.28515
107,9_1_2016_CUAUH,9,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,83,11,0.11413,0.02903,0.55094
108,9_1_2016_GUSTA,9,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,33,8,0.1401,0.00803,1.3659
109,9_1_2016_IZTAC,9,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,81,6,0.11471,0.03191,0.53143
110,9_1_2016_IZTAP,9,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,105,20,0.0709,0.1795,0.1876
111,9_1_2016_MIGUE,9,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,78,5,0.05957,0.26429,0.31492
112,9_1_2016_TLAHU,9,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,71,1,0.06017,0.27215,0.34631
113,9_1_2016_TLALP,9,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,28,4,0.07686,0.14441,0.5717
114,9_1_2016_VENUS,9,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,113,7,0.03224,0.54488,0.13043
115,10_1_2016_ALVAR,10,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,15,4,-0.00885,0.87071,-0.07645
116,10_1_2016_AZCAP,10,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,12,5,-0.02489,0.64123,-0.10199
117,10_1_2016_BENIT,10,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,77,3,0.04593,0.38688,0.298
118,10_1_2016_COYOA,10,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,13,6,0.21894,3e-05,2.00756
119,10_1_2016_CUAJI,10,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,49,1,0.07397,0.26074,0.28515
120,10_1_2016_CUAUH,10,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,65,9,0.11413,0.02903,0.55094
121,10_1_2016_GUSTA,10,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,10,13,0.1401,0.00803,1.3659
122,10_1_2016_IZTAC,10,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,66,8,0.11471,0.03191,0.53143
123,10_1_2016_IZTAP,10,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,69,17,0.0709,0.1795,0.1876
124,10_1_2016_MIGUE,10,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,53,1,0.05957,0.26429,0.31492
125,10_1_2016_TLAHU,10,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,69,4,0.06017,0.27215,0.34631
126,10_1_2016_TLALP,10,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,20,2,0.07686,0.14441,0.5717
127,10_1_2016_VENUS,10,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,84,2,0.03224,0.54488,0.13043
128,11_1_2016_ALVAR,11,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,21,5,-0.00885,0.87071,-0.07645
129,11_1_2016_AZCAP,11,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,17,3,-0.02489,0.64123,-0.10199
130,11_1_2016_BENIT,11,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,94,1,0.04593,0.38688,0.298
131,11_1_2016_COYOA,11,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,19,5,0.21894,3e-05,2.00756
132,11_1_2016_CUAUH,11,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,82,12,0.11413,0.02903,0.55094
